,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
51,Czechia,2019,107.8,105888.0,10671870.0,141.9,225613.5,77798.0,1.3,112362.0,177903.0,159958.1,0.009922159846399927,21140.95280396032,0.007290006343780424,0.010528801419057767,0.016670274281826897,0.014988760170429364
52,Czechia,2020,111.4,63095.0,10697858.0,153.9,215805.4,35854.0,1.7,129289.0,167597.4,149564.6,0.005897909656306898,20172.767296032533,0.0033515120503562488,0.012085503471816507,0.01566644462844805,0.013980798772988013
53,Czechia,2021,115.1,69360.0,10505772.0,184.2,238249.5,18630.0,1.9,139891.0,191571.0,179330.1,0.006602085025260399,22677.962171651925,0.0017733108999509984,0.013315632587495713,0.01823483319455248,0.017069673699372116
54,Germany,2011,95.0,489422.0,80274983.0,86.8,2693560.0,249045.0,3.6,852328.0,1058897.3,901486.6,0.0060968184820419085,33554.16468914108,0.0031023986638527225,0.010617604241660195,0.01319087541880887,0.011229981823851647
55,Germany,2012,97.0,592175.0,80425823.0,89.8,2745310.0,240001.0,3.4,869582.0,1090529.8,898857.4,0.007362995837792048,34134.68333423209,0.0029841286174963977,0.010812223830149677,0.013559448437350775,0.011176228808998325
56,Germany,2013,98.6,692713.0,80645605.0,92.6,2811350.0,259328.0,3.3,893825.0,1088071.0,889415.7,0.008589593940054142,34860.54819726382,0.0032156495074964096,0.011083369019303655,0.01349200616698207,0.01102869400012561
57,Germany,2014,99.3,884893.0,80982500.0,95.5,2927430.0,324221.0,3.2,868356.0,1125034.2,908574.6,0.010926965702466582,36148.92106319267,0.004003593368937733,0.010722761090359028,0.013892312536659155,0.011219394313586269
58,Germany,2015,100.0,1571047.0,81686611.0,100.0,3026180.0,338403.0,2.9,925200.0,1195822.4,947626.7,0.019232613285915363,37046.218014847014,0.0041426984894746095,0.011326213545571133,0.014639148146322289,0.011600759150113351
59,Germany,2016,100.4,1029852.0,82348669.0,107.5,3134740.0,533762.0,2.7,910902.0,1205488.8,953760.9,0.012505994480615103,38066.6747631343,0.006481731963390932,0.011061526689642063,0.014638837696332408,0.01158198318906648
60,Germany,2017,102.1,917109.0,82657002.0,114.1,3267160.0,560700.0,2.4,932272.0,1281864.6,1029617.1,0.011095357656451175,39526.71789378473,0.006783454352723802,0.01127880249032018,0.015508239701217327,0.012456501870222682
61,Germany,2018,104.0,893886.0,82905782.0,121.7,3365450.0,540415.0,2.2,954874.0,1320732.4,1087431.3,0.010781950045414202,40593.670535548416,0.006518423528047778,0.011517580281674444,0.01593052219204687,0.013116471176883658
62,Germany,2019,105.5,886341.0,83092962.0,128.7,3474110.0,576319.0,2.1,939520.0,1330414.0,1102153.3,0.010666860088583675,41809.918871347974,0.006935834108308715,0.011306854123216838,0.01601115146190119,0.013264099310841753
63,Germany,2020,105.8,728606.0,83160871.0,138.7,3403730.0,488138.0,2.5,985572.0,1209207.7,1025490.8,0.008761404146428432,40929.46549345305,0.0058698038407991185,0.011851391022588016,0.014540584838270873,0.012331410044995801
64,Germany,2021,109.2,874367.0,83196078.0,154.7,3617450.0,543162.0,2.5,1023687.0,1384144.5,1202926.5,0.010509714171862765,43481.016016163645,0.006528697182095531,0.012304510315979077,0.01663713642847443,0.014458932787672995
65,Denmark,2011,96.6,52833.0,5570572.0,89.12,247879.9,41593.0,5.4,52516.0,80362.1,68723.6,0.0094843043048362,44498.10540102524,0.007466558191869704,0.009427398119977625,0.014426184600073387,0.012336901847781521
66,Denmark,2012,98.9,54409.0,5591572.0,86.71,254578.0,43663.0,5.3,52325.0,83336.3,71453.7,0.009730537315803141,45528.87810440427,0.0078087164039021585,0.009357833539476912,0.014903912531216625,0.012778821411939255
67,Denmark,2013,99.4,60312.0,5614932.0,90.09,258742.7,43310.0,5.0,52470.0,83539.4,73298.8,0.010741358933643363,46081.18139275774,0.007713361444092288,0.009344725813242262,0.01487807866595713,0.013054263168280579
68,Denmark,2014,99.8,68388.0,5643475.0,93.49,265757.0,44426.0,4.7,51340.0,83911.7,74970.7,0.01211806555358179,47091.02104642973,0.007872100080181094,0.009097231758801094,0.014868799808628548,0.013284492267618799
69,Denmark,2015,100.0,78492.0,5683483.0,100.0,273017.6,44625.0,4.2,52555.0,86060.3,77173.2,0.013810545399713521,48037.02236814995,0.00785169938926535,0.009246970563649086,0.015142176021288355,0.01357850458952723
70,Denmark,2016,100.0,74383.0,5728010.0,105.22,283109.7,52654.0,4.1,52824.0,86136.7,77292.1,0.012985836267743946,49425.48982980128,0.009192372220020565,0.00922205093915688,0.01503780545075864,0.013493708984446606
71,Denmark,2017,101.1,68579.0,5764980.0,110.0,294808.2,56403.0,4.0,53261.0,90756.3,82245.6,0.011895791485833428,51137.76630621442,0.009783728651270257,0.009238713750958373,0.01574269121488713,0.01426641549493667
72,Denmark,2018,101.8,64669.0,5793636.0,114.81,302328.7,60381.0,3.5,55232.0,92913.3,86938.3,0.011162075076860196,52182.89516289943,0.01042195263906811,0.009533218862904055,0.016037131086592254,0.01500582708337217
73,Denmark,2019,102.5,61384.0,5814422.0,117.51,309526.4,66520.0,3.5,53958.0,99237.2,87708.2,0.010557197258816096,53234.25097111974,0.01144051807729126,0.009280028178209287,0.017067423038781844,0.015084594823010783
74,Denmark,2020,102.9,57230.0,5831404.0,123.48,311356.3,53822.0,3.9,54645.0,95027.5,86007.0,0.009814103087352548,53393.025075950834,0.00922968122256664,0.009370813615383191,0.01629581829693158,0.014748935247840829
75,Denmark,2021,104.9,63489.0,5856733.0,137.98,342961.7,44008.0,3.6,57152.0,106533.2,101811.2,0.010840343925529813,58558.53425450674,0.007514086778413836,0.009758341382473813,0.018189867969053735,0.017383616429159397
76,Estonia,2011,92.43,3709.0,1327439.0,69.32,16677.3,6214.0,8.3,15244.0,12003.4,12542.6,0.002794102026533799,12563.515159641986,0.004681194390100034,0.011483766862356764,0.00904252474124988,0.009448720430844658
