,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
45,Estonia,2025,121.250273,28955.963636,1329097.154545,174.218091,35417.304545,17066.136364,2.048182,17333.418182,17458.836364,19301.367273,0.021822,26660.173467,0.012857,0.013041,0.013136,0.014523
46,Estonia,2026,123.242727,30822.272727,1329900.0,181.830909,36804.6,17838.636364,1.709091,17510.363636,17918.136364,19798.172727,0.023225,27695.705062,0.013435,0.013166,0.013476,0.014891
47,Estonia,2027,125.235182,32688.581818,1330702.845455,189.443727,38191.895455,18611.136364,1.37,17687.309091,18377.436364,20294.978182,0.024629,28731.236656,0.014014,0.013292,0.013816,0.015258
48,Spain,2022,106.332182,652068.381818,47244572.218182,127.418545,1240111.763636,271319.018182,7.936364,463614.527273,317947.061818,343225.976364,0.013824,26260.230704,0.005733,0.009814,0.006734,0.007268
49,Spain,2023,107.118909,685874.627273,47317866.845455,129.842091,1260526.936364,254969.854545,7.122727,471141.190909,326754.691818,351370.898182,0.01453,26658.139826,0.005372,0.00996,0.006913,0.007432
50,Spain,2024,107.905636,719680.872727,47391161.472727,132.265636,1280942.109091,238620.690909,6.309091,478667.854545,335562.321818,359515.82,0.015236,27056.048947,0.005011,0.010106,0.007091,0.007596
51,Spain,2025,108.692364,753487.118182,47464456.1,134.689182,1301357.281818,222271.527273,5.495455,486194.518182,344369.951818,367660.741818,0.015943,27453.958068,0.00465,0.010252,0.00727,0.007759
52,Spain,2026,109.479091,787293.363636,47537750.727273,137.112727,1321772.454545,205922.363636,4.681818,493721.181818,353177.581818,375805.663636,0.016649,27851.86719,0.004289,0.010398,0.007449,0.007923
53,Spain,2027,110.265818,821099.609091,47611045.354545,139.536273,1342187.627273,189573.2,3.868182,501247.845455,361985.211818,383950.585455,0.017355,28249.776311,0.003928,0.010544,0.007628,0.008087
54,Finland,2022,106.662182,34558.0,5569076.4,108.267636,252737.236364,17128.581818,5.067273,56910.2,65510.267273,67231.2,0.006209,45445.203187,0.003082,0.010224,0.011771,0.012078
55,Finland,2023,107.658909,34972.5,5583718.436364,109.293,258076.2,17374.390909,5.020909,57490.536364,66588.298182,68236.077273,0.006269,46312.236054,0.00312,0.010304,0.011939,0.01223
56,Finland,2024,108.655636,35387.0,5598360.472727,110.318364,263415.163636,17620.2,4.974545,58070.872727,67666.329091,69240.954545,0.006329,47179.268922,0.003158,0.010384,0.012106,0.012383
57,Finland,2025,109.652364,35801.5,5613002.509091,111.343727,268754.127273,17866.009091,4.928182,58651.209091,68744.36,70245.831818,0.006389,48046.301789,0.003196,0.010464,0.012273,0.012535
58,Finland,2026,110.649091,36216.0,5627644.545455,112.369091,274093.090909,18111.818182,4.881818,59231.545455,69822.390909,71250.709091,0.006449,48913.334656,0.003234,0.010544,0.01244,0.012688
59,Finland,2027,111.645818,36630.5,5642286.581818,113.394455,279432.054545,18357.627273,4.835455,59811.881818,70900.421818,72255.586364,0.006509,49780.367524,0.003271,0.010624,0.012607,0.01284
